Actual,Predicted
349.0,353.8465520546607
311.0,310.6110088417463
235.4,235.15402218544853
262.0,262.4740688420638
445.0,431.6088114902261
246.9,246.1661325189545
231.0,232.9292954383556
235.0,234.6246156621843
477.5,479.02051363149354
324.0,323.0297637896449
473.0,472.9924737425501
560.0,556.060064053596
190.2,192.4061043973645
394.0,396.0744191194793
353.4,355.6422281368298
450.0,451.667901868215
207.0,208.3522795667059
304.0,304.44040697461526
414.0,419.2804236230949
491.0,493.30454450765745
332.0,333.94797057029734
428.0,426.83307962291764
627.0,630.890615775098
380.0,380.04294990127516
288.0,287.4224964878688
323.0,321.0257785762143
213.0,214.75528470641507
643.0,645.6984292068062
387.0,383.19117140250637
438.0,437.2077937622547
219.0,219.86692760669837
439.0,434.4619993821111
347.0,338.9191049325025
465.0,463.2792852660968
249.0,243.29776444550635
189.1,191.58886691197586
436.0,424.1822576351302
340.0,343.2607218144364
550.0,547.8783583515444
472.0,475.3025202486922
408.0,406.9630063446668
197.7,191.19711903263334
369.0,370.4662696276099
211.5,205.08064244992147
234.0,234.41717948182963
356.0,353.4538166113244
255.0,254.92274386993384
228.0,227.92878746751384
272.0,272.50290220777185
359.0,359.438540995457
325.0,327.04113544812986
196.1,196.1812507809012
424.0,427.2221582250263
344.0,343.24626349535066
258.0,257.20822739748684
446.0,429.4511549925678
235.9,234.84664400288221
543.0,547.7343117963424
568.0,564.2514493681501
238.0,240.2492097712326
371.0,370.25471884652006
229.0,231.3536304444528
431.0,432.9238838272786
178.2,178.3035259341628
223.7,224.89787775926257
234.0,235.20132991013284
245.0,244.65414779138987
225.5,226.40797134267868
442.0,440.7312719130066
488.0,490.5136720043111
568.0,567.0985379925672
456.0,460.2353424938328
428.0,430.5840221052163
437.0,439.249299080085
249.5,246.73677634113525
374.0,376.8356268437726
181.0,181.78897049826745
256.0,258.03028773660685
248.0,245.03549324447192
222.0,222.36766267220315
479.0,469.37970773175766
248.0,248.82126640912668
368.0,365.4281425322146
472.0,471.2624047730667
186.3,187.12203782197028
243.0,243.48310603163563
205.4,206.81983143136614
408.0,407.6527135048503
356.0,353.2234654453482
355.0,356.2200167989449
432.0,430.4149451798264
342.0,344.63054687399193
505.0,512.5432800090603
368.0,366.8547675635917
270.8,271.93740227926116
186.5,188.40916215962838
326.0,326.9310227360301
256.0,256.60739871221654
360.0,360.22527373197084
232.8,234.75891990752294
456.0,457.21826990828174
412.0,415.46560263785676
413.0,411.6390577351808
268.9,267.99148154754715
455.0,454.2634050272725
253.9,250.07507252219878
322.0,320.83901776903025
245.0,244.87766924439757
247.8,250.52269956863393
223.7,226.57026220823937
421.0,422.5765371027908
271.0,270.59866488220393
248.0,242.04272869599018
208.7,209.7940969793492
318.0,321.8501729173528
235.0,233.0163271894834
327.0,326.44271798657365
206.9,203.76434320179266
416.0,415.39005397122315
465.0,456.64275677839277
354.0,355.2430319600019
